movie_name,duration,gross,budget,facebook_likes,average_rating,sentiment_score,nominated
The Impossible,114,18996755,45000000,54000,79,38.2038432,0
The Babadook,92,964413,511138.89,22715,83,52.30655515,0
Calvary,100,3600006,1908003.18,21776,82,58.80649244,0
The Pirates! Band of Misfits,88,31051126,55000000,33661,77,52.08333333,0
Tabu,118,0,0,757,81,62.99170668,0
Chronicle,89,64572496,12000000,32000,78,57.2807397,0
Inside Llewyn Davis,104,13214255,11000000,26000,84,58.19408991,0
Big Hero 6,102,222487711,165000000,41000,84,60.407743,0
Captain Phillips,134,107100855,55000000,65000,86,57.28277714,1
The Grand Budapest Hotel,99,59073773,25000000,149000,87,69.56698193,1
Moonrise Kingdom,94,45507053,16000000,71000,86,61.46292804,0
Gloria,110,2106556,1116474.68,450,82,57.38438775,0
The Wolf of Wall Street,240,116866727,100000000,138000,80,67.89370364,1
Warm Bodies,98,66359959,35000000,81000,75,67.26466962,0
12 Years a Slave,134,56667870,20000000,83000,89,54.23219489,0
Mr. Turner,150,3958500,8200000,2129,83,58.19225219,0
Blue Jasmine,98,33404871,18000000,36000,82,53.01762454,0
Pitch Perfect,112,64998368,17000000,36000,76,84.62413522,0
Don Jon,90,24475193,3000000,33000,74,54.29938209,0
Le pass,130,1330596,705215.88,2982,86,49.88050302,0
The Master,144,16377274,32000000,27000,79,60.78222074,0
Argo,130,136019448,44500000,89000,87,61.8413265,1
Silver Linings Playbook,122,132088910,21000000,117000,85,52.33194581,1
A Girl Walks Home Alone at Night,99,491910,260712.3,12226,83,51.8296131,0
Brave,93,237282182,185000000,39000,75,74.81995252,0
The World's End,109,26003149,20000000,49000,80,85.73700643,0
Starlet,103,88212,46752.36,1724,78,63.08804266,0
Django Unchained,165,162804648,100000000,199000,86,73.60551989,1
Cold in July,100,427418,226531.54,2937,77,41.24155712,0
Gravity,91,274084951,100000000,147000,87,60.44785547,1
21 Jump Street,109,138447667,42000000,39000,79,61.90263914,0
Philomena,98,37707719,12000000,37000,84,56.45874784,1
Gone Girl,149,167735396,61000000,146000,85,53.32570212,0
Saving Mr. Banks,125,83299761,35000000,39000,77,60.67656553,0
Amour,127,225377,8900000,33000,86,56.52575758,1
Boyhood,165,25359200,4000000,92000,89,59.44056974,1
Prisoners,153,60962878,46000000,86000,81,54.76242821,0
Foxcatcher,134,12096300,6411039,75973,79,61.05163084,0
Safety Not Guaranteed,86,4007792,750000,31000,80,57.54093637,0
Guardians of the Galaxy,121,333130696,170000000,96000,86,61.78771791,0
A Royal Affair,137,14700000,7791000,32055,83,60.33612095,0
All Is Lost,106,6262942,9000000,18000,82,51.0566161,0
The Good Lie,110,2722209,1442770.77,55186,81,67.0627552,0
Before Midnight,109,8114507,3000000,62000,89,60.08540168,0
The Perks of Being a Wallflower,102,17738570,13000000,131000,83,53.94583879,0
Compliance,90,318622,270000,15901,77,57.27628167,0
The Hunger Games: Catching Fire,146,424645577,130000000,82000,83,71.33208297,0
Looper,119,66468315,30000000,75000,84,65.1185463,0
The Spectacular Now,95,6851969,2500000,10000,82,68.6532299,0
X-Men: Days of Future Past,149,233914986,200000000,82000,86,48.64534795,0
How to Train Your Dragon 2,102,176997107,145000000,46000,86,65.81875509,0
Leviathan,140,1092800,579184,1713,88,56.78400927,0
The Selfish Giant,75,12189,6460.17,4679,85,42.54741693,0
The Way Way Back,103,21501098,5000000,22000,80,52.77938499,0
The Guest,99,332890,176431.7,40382,79,63.55803571,0
Rush,123,26903709,38000000,83000,85,55.30984758,0
Dallas Buyers Club,117,27296514,5000000,65000,87,63.45960399,1
Frank,95,644906,341800.18,15614,81,57.2708604,0
Beasts of the Southern Wild,93,12784397,1800000,31000,80,54.72745005,1
Frankenweenie,87,35287788,39000000,25000,79,60.66643057,0
Flight,138,93749203,31000000,64000,76,56.12167506,0
American Hustle,138,150117807,40000000,63000,83,54.0409712,1
Drinking Buddies,90,342936,181756.08,41290,72,61.59679036,0
Captain America: The Winter Soldier,136,259746958,170000000,55000,84,61.65805814,0
Top Five,102,25277561,12000000,405493,76,65.5955095,0
Nebraska,115,17613460,12000000,28000,84,57.86866731,1
In a World...,93,2963902,1570868.06,6065,80,58.74566863,0
Chef,115,31424003,16654721.59,20386,80,59.39117888,0
Keep the Lights On,101,246112,130439.36,15597,77,56.01761784,0
Smashed,81,499725,500000,1918,76,63.55165253,0
The Cabin in the Woods,95,42043633,30000000,66000,81,49.51235856,0
Love Is Strange,94,2252580,1193867.4,5829,81,66.57809766,0
Side Effects,106,32154410,30000000,29000,77,52.1513628,0
The Imitation Game,114,91121452,14000000,165000,86,45.05187845,1
The Sessions,95,5997134,1000000,11000,83,55.09228141,0
Computer Chess,92,102041,54081.73,727,75,52.07474081,0
Short Term 12,96,1013100,536943,50268,90,53.25512969,0
Frozen,102,400736600,150000000,58000,83,52.91028845,0
John Wick,101,42996986,22788402.58,680122,79,59.79562333,0
Life of Pi,127,124976634,120000000,122000,84,62.84996448,1
Barbara,105,3100000,1643000,771,83,57.02422779,0
Pride,120,1446634,766716.02,24196,85,53.79754085,0
"Farewell, My Queen",100,5000000,7500000,593,78,62.21407625,0
Robot & Frank,89,3325638,2500000,13000,79,54.90635739,0
Arbitrage,107,7918283,12000000,15662,76,67.41683766,0
Fruitvale Station,85,16097842,900000,17000,85,51.60371855,0
Dear White People,100,4404154,2334201.62,384995,77,51.54675981,0
A Most Wanted Man,122,17237244,15000000,13000,78,66.30952831,0
Star Trek Into Darkness,132,228756232,190000000,92000,82,60.88191377,0
We Are What We Are,100,81381,43131.93,66089,72,61.12506185,0
Enough Said,93,17536788,8000000,12000,84,51.26351477,0
Her,126,25556065,23000000,148000,88,55.59147375,1
Nightcrawler,117,32279955,8500000,65000,87,57.15720241,0
Seven Psychopaths,110,14989761,15000000,52000,77,83.75,0
Wild,115,37877959,15000000,38000,81,55.71643149,0
The Conjuring,112,137387272,20000000,131000,81,54.10077982,0
Obvious Child,84,3122616,1654986.48,54119,79,52.62266707,0
Skyfall,143,304360277,200000000,80000,86,60.09196476,0
22 Jump Street,112,191616238,50000000,24000,78,61.46098682,0
The Drop,106,10720322,5681770.66,60491,80,54.62409308,0
The Dark Knight Rises,164,448130642,250000000,164000,86,47.63032493,0
End of Watch,109,40983001,7000000,38000,81,58.36148548,0
Magic Mike,110,113709992,7000000,54000,71,68.40991638,0
Middle of Nowhere,97,78030,200000,569,76,52.36441166,0
Whiplash,107,13092000,3300000,129000,90,55.14749086,1
The Hunger Games,142,407999255,78000000,140000,79,59.99092525,0
ParaNorman,92,55994557,60000000,12000,79,58.84642766,0
Lincoln,150,182204440,65000000,71000,82,58.73150424,1
Upstream Color,96,444098,235371.94,14644,77,57.32540608,0
Holy Motors,115,4200000,4000000,12000,81,53.21018062,0
The Skeleton Twins,93,5283379,2800190.87,41865,77,63.91680283,0
Zero Dark Thirty,157,132800000,40000000,266092,83,50.47404758,1
Les Miserables,158,441800000,61000000,20047,72.5,59.4354198,1
American Sniper,132,547400000,580000000,2387575,72.5,54.59065907,1
Selma,128,66787908,20000000,290466,87,56.62954576,1
Birdman,119,103215094,18000000,340726,84.5,58.78968939,1
The Theory of Everything,123,123700000,15000000,732313,78,58.85583937,1
